坂持,金発,男性,担任,1,40,38,250,坂持専用カスタムナイフ<>WC,35,99,背広<>DBN,20,50,かつら<>DH,15,20,革靴<>DF,15,20,金の腕時計<>DA,15,20,攻撃重視,先生に逆らうからナイフ投げちゃったじゃないかー♪（爽,NPC0狂,0,0,プログラム解除キー<>Y,1,1,栄養ドリンク<>SH,50,3,政府印の傷薬<>HH,100,5,なし,0,0,なし,0,0,防弾チョッキ<>ADB,10,20,貴様等虫けらにこの政府を潰せると思っているのか？,ハッキングなんかしちゃう悪い子はお仕置きだなー,NPC0,300,政府,金発,
兵士,田原,男性,兵士,1,35,28,200,イングラムM10サブマシンガン<>WGB,30,99,強化スーツ<>DBA,20,60,特殊硬化ヘルメット<>DH,10,20,コンバットブーツ<>DF,10,20,特務戦闘隊専用手甲<>DA,10,20,狙撃重視,餓鬼が…失せろ。,NPC0,0,1,おいしい水<>HH,50,2,栄養ドリンク<>SH,50,3,おにぎり<>HH,30,5,なし,0,0,なし,0,0,防弾チョッキ<>ADB,5,15,まさかこんな餓鬼共に殺られるとはな…,ほぅ、こんな餓鬼共にハッキングできる奴がいたとはな…。,NPC0,300,政府,金発,
兵士,野村,男性,兵士,2,35,28,200,レミントンM31RS<>WGB,28,99,強化スーツ<>DBA,20,60,特殊硬化ヘルメット<>DH,10,20,コンバットブーツ<>DF,10,20,特務戦闘隊専用手甲<>DA,10,20,狙撃重視,ふむ、キミは我々の装備を甘く見ていないか？,NPC0,0,2,おいしい水<>HH,50,2,栄養ドリンク<>SH,50,3,おにぎり<>HH,30,5,なし,0,0,なし,0,0,防弾チョッキ<>ADB,5,15,そんなはずは…,ふふふふふ…,NPC0,300,政府,金発,
兵士,近藤,男性,兵士,3,35,28,200,S&W M19・357マグナム<>WGB,26,99,強化スーツ<>DBA,20,60,特殊硬化ヘルメット<>DH,10,20,コンバットブーツ<>DF,10,20,特務戦闘隊専用手甲<>DA,10,20,狙撃重視,ハン、政府に逆らうなんて１００万年早いンだよ！,NPC0,0,3,おいしい水<>HH,50,2,栄養ドリンク<>SH,50,3,おにぎり<>HH,30,5,なし,0,0,なし,0,0,防弾チョッキ<>ADB,5,15,クソガキどもめ…,あ〜、分校に来る奴は皆殺しな（笑）,NPC0,300,政府,金発,
兵士,加藤,男性,兵士,4,35,28,200,コルト357マグナムリボルバー<>WGB,27,99,強化スーツ<>DBA,20,60,特殊硬化ヘルメット<>DH,10,20,コンバットブーツ<>DF,10,20,特務戦闘隊専用手甲<>DA,10,20,狙撃重視,どうだ！オレ様の力思い知ったか！,NPC0,0,4,おいしい水<>HH,50,2,栄養ドリンク<>SH,50,3,おにぎり<>HH,30,5,なし,0,0,なし,0,0,防弾チョッキ<>ADB,5,15,オレが負けるはずは…,刃向かうのなら容赦はしない！,NPC0,300,政府,金発,
赤松,義生,男子,３年Ｂ組,1,15,15,135,ボウガン<>WAB,20,48,学ラン<>DBN,5,40,なし,0,0,なし,0,0,なし,0,0,通常,うわああ,正常,99,0,水<>HH,20,1,栄養ドリンク<>SH,50,1,矢<>Y,12,1,なし,0,0,なし,0,0,なし,0,0,死ぬのやだぁっ！！,どうせみんな僕を一番最初に狙うんだ！,NPC,150,３年Ｂ組,生徒達,
飯島,敬太,男子,３年Ｂ組,2,15,15,135,文化包丁<>WNS,17,∞,学ラン<>DBN,5,40,なし,0,0,なし,0,0,なし,0,0,通常,ひいい,正常,99,1,水<>HH,20,1,栄養ドリンク<>SH,50,1,なし,0,0,なし,0,0,なし,0,0,なし,0,0,な、仲間に、して、してくれって・・・頼んだ・・のに。,俺達、帰れるかな,NPC,150,３年Ｂ組,生徒達,
大木,立道,男子,３年Ｂ組,3,15,15,135,ナタ<>WN,17,∞,学ラン<>DBN,5,40,なし,0,0,なし,0,0,なし,0,0,通常,ほらみろ・・,正常,99,2,水<>HH,20,1,栄養ドリンク<>SH,50,1,なし,0,0,なし,0,0,なし,0,0,なし,0,0,あ・・・大丈夫だって・・・大丈・・・夫・・・,俺が…俺が生き延びてやる。,NPC,150,３年Ｂ組,生徒達,
織田,敏憲,男子,３年Ｂ組,4,15,15,135,素手<>WP,5,∞,学ラン<>DBN,5,40,フルフェイス<>DH,8,10,なし,0,0,なし,0,0,防御重視,くっくっく,正常,99,3,水<>HH,20,1,栄養ドリンク<>SH,50,1,なし,0,0,なし,0,0,なし,0,0,防弾チョッキ<>ADB,10,15,見ろ、こんな完璧な死人が他にいるもんか,何で俺が下品な有象無象どもと一緒に地べた這いずり回らなきゃならないんだ,NPC,150,３年Ｂ組,生徒達,
川田,章吾,男子,３年Ｂ組,5,19,19,155,レミントンM31RS<>WGB,28,48,学ラン<>DBN,5,40,バンダナ<>DH,10,15,なし,0,0,なし,0,0,命中重視,相手が悪かったな,治療,99,4,水<>HH,20,1,栄養ドリンク<>SH,50,1,弾丸<>Y,36,1,なし,0,0,なし,0,0,なし,0,0,なんだか眠くなったな,俺はこの国をぶっ壊す。,NPC,150,３年Ｂ組,生徒達,
